,time,cloudCover,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMin,temperatureMax,visibility
162,1465596000.0,0.1825613079019074,19201.0,79394.0,10.641989100817433,11.973623978201637,7.879019073569481,10.448719346049039,0.6020980926430504
161,1465509600.0,0.1825613079019074,19220.0,79351.0,9.121989100817437,7.3536239782016395,4.439019073569476,8.928719346049043,0.6020980926430504
160,1465423200.0,-0.22743869209809264,19243.0,79305.0,6.791989100817439,3.9136239782016347,6.209019073569479,6.5987193460490445,0.6020980926430504
159,1465336800.0,0.012561307901907348,19269.0,79257.0,9.011989100817438,6.1136239782016375,8.479019073569475,8.818719346049043,0.6020980926430504
158,1465250400.0,0.12256130790190733,19298.0,79206.0,17.721989100817446,7.953623978201634,10.679019073569478,17.52871934604905,0.5720980926430501
157,1465164000.0,-0.15743869209809264,19330.0,79152.0,15.121989100817437,10.153623978201637,6.029019073569479,14.928719346049043,0.5220980926430503
156,1465077600.0,-0.3274386920980927,19365.0,79096.0,15.32198910081744,5.503623978201638,9.389019073569479,15.128719346049046,0.6020980926430504
155,1464991200.0,0.012561307901907348,19403.0,79037.0,21.061989100817435,13.723623978201637,9.179019073569478,20.86871934604904,-1.8379019073569496
154,1464904800.0,0.3125613079019074,19444.0,78976.0,8.521989100817443,8.653623978201637,8.329019073569476,8.328719346049049,-2.5179019073569497
153,1464818400.0,0.38256130790190734,19488.0,78913.0,1.791989100817439,7.783623978201639,8.30901907356948,4.988719346049045,-0.4879019073569495
152,1464732000.0,0.2025613079019073,19535.0,78847.0,15.401989100817438,10.323623978201638,12.05901907356948,15.208719346049044,-1.3879019073569498
212,1469916000.0,-0.34743869209809264,21684.0,77680.0,11.171989100817434,10.983623978201635,12.12901907356948,10.97871934604904,0.6120980926430502
211,1469829600.0,-0.12743869209809267,21590.0,77779.0,13.941989100817445,12.373623978201636,15.839019073569482,13.74871934604905,0.6120980926430502
210,1469743200.0,0.0825613079019073,21497.0,77875.0,11.241989100817442,15.31362397820164,14.799019073569475,11.048719346049047,0.29209809264305076
209,1469656800.0,-0.0574386920980926,21405.0,77970.0,15.191989100817445,14.273623978201634,14.269019073569481,14.99871934604905,-0.11790190735694939
208,1469570400.0,-0.047438692098092705,21314.0,78063.0,12.001989100817433,13.74362397820164,16.299019073569475,11.808719346049038,-0.037901907356949316
207,1469484000.0,-0.15743869209809264,21223.0,78153.0,17.74198910081744,15.85362397820164,12.66901907356948,17.548719346049047,0.5820980926430508
206,1469397600.0,-0.10743869209809265,21134.0,78242.0,14.18198910081744,12.143623978201639,15.929019073569478,13.988719346049045,0.42209809264305065
205,1469311200.0,-0.08743869209809263,21046.0,78328.0,19.381989100817442,17.013623978201643,18.159019073569475,19.188719346049048,0.16209809264304997
204,1469224800.0,-0.13743869209809267,20958.0,78412.0,20.001989100817433,17.633623978201634,19.349019073569472,19.80871934604904,0.42209809264305065
203,1469138400.0,-0.06743869209809261,20872.0,78494.0,20.501989100817433,18.82362397820163,18.859019073569478,20.30871934604904,-0.11790190735694939
202,1469052000.0,-0.20743869209809268,20788.0,78573.0,21.261989100817438,18.333623978201636,18.759019073569483,21.068719346049043,0.10209809264305036
