,time,cloudCover,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMin,temperatureMax,visibility
101,1491948000,0.1166485014,24607,74056,-5.3698910082,-1.2240326975,1.3856675749,-5.558773842,0.5543324251
102,1492034400,-0.1233514986,24472,74161,-3.9298910082,-4.4540326975,-2.2143324251,-4.118773842,0.6343324251
103,1492120800,-0.1433514986,24339,74265,-2.4598910082,1.1159673025,-3.8843324251,-2.648773842,0.6343324251
104,1492207200,-0.0433514986,24206,74369,-5.6898910082,-2.9340326975,-0.6643324251,-5.878773842,0.4243324251
105,1492293600,-0.1233514986,24074,74473,-7.3298910082,-6.0740326975,-2.3643324251,-7.518773842,0.6343324251
106,1492380000,-0.1333514986,23942,74577,-7.0698910082,-9.0140326975,-5.5043324251,-7.258773842,0.6043324251
107,1492466400,-0.1633514986,23812,74682,-5.7498910082,-13.3140326975,-8.4443324251,-5.938773842,0.5443324251
108,1492552800,-0.1133514986,23683,74786,-9.6098910082,-15.1840326975,-12.7443324251,-9.798773842,0.6343324251
109,1492639200,-0.0433514986,23554,74890,-4.0398910082,0.9059673025,-14.6143324251,-4.228773842,0.6343324251
110,1492725600,0.0366485014,23426,74994,-0.9498910082,-2.9740326975,1.4756675749,-1.138773842,-0.1456675749
111,1492812000,-0.0633514986,23300,75099,-6.3198910082,-7.2340326975,-4.2643324251,-6.508773842,0.4843324251
112,1492898400,-0.1933514986,23174,75203,-6.7098910082,-3.8140326975,-6.6643324251,-6.898773842,0.4443324251
113,1492984800,0.0866485014,23050,75307,-4.0698910082,-7.3140326975,-3.2443324251,-4.258773842,0.6343324251
114,1493071200,-0.2033514986,22926,75411,-8.9698910082,-12.3340326975,-6.7443324251,-9.158773842,0.4443324251
115,1493157600,-0.2333514986,22804,75515,-7.6098910082,-11.8540326975,-11.7643324251,-7.798773842,0.6343324251
116,1493244000,-0.2233514986,22683,75619,-7.4598910082,-4.3640326975,-11.2843324251,-7.648773842,0.6343324251
117,1493330400,-0.1333514986,22563,75723,-5.5498910082,-8.5840326975,-3.7943324251,-5.738773842,0.5743324251
118,1493416800,-0.2833514986,22445,75826,-2.1298910082,-5.5440326975,-8.0143324251,-2.318773842,0.6343324251
119,1493503200,0.0766485014,22328,75929,7.9501089918,4.2559673025,-4.9743324251,7.761226158,0.6343324251
120,1493589600,-0.0433514986,22212,76033,-1.2898910082,0.5359673025,4.1756675749,-0.488773842,0.6343324251
121,1493676000,-0.1033514986,22098,76135,0.4001089918,-1.1540326975,1.1056675749,0.211226158,-0.3456675749
122,1493762400,0.0966485014,21985,76238,0.5901089918,-0.0940326975,-0.5843324251,0.401226158,0.3943324251
123,1493848800,-0.0833514986,21873,76340,-2.7298910082,-0.9940326975,0.4756675749,-2.918773842,0.5043324251
124,1493935200,0.3366485014,21763,76441,-4.8098910082,-2.0740326975,-0.4643324251,-4.998773842,0.6343324251
125,1494021600,-0.0633514986,21655,76543,6.7401089918,2.1359673025,-1.5043324251,6.551226158,0.0443324251
126,1494108000,0.0766485014,21548,76643,1.9801089918,-0.4940326975,1.8156675749,1.791226158,-0.1456675749
127,1494194400,0.0266485014,21443,76743,0.6401089918,-7.4640326975,-1.3343324251,0.451226158,0.6343324251
128,1494280800,-0.0633514986,21340,76843,-3.3298910082,-5.3440326975,-6.8943324251,-3.518773842,0.6343324251
129,1494367200,0.0966485014,21238,76942,0.3101089918,-3.2140326975,-4.7743324251,0.121226158,0.6343324251
130,1494453600,0.0466485014,21138,77040,15.9501089918,9.6959673025,-2.6443324251,15.761226158,0.6343324251
131,1494540000,-0.0633514986,21040,77138,10.6901089918,7.8259673025,10.2256675749,10.501226158,0.0043324251
132,1494626400,-0.1833514986,20944,77234,5.4701089918,2.1359673025,6.8756675749,5.281226158,0.1843324251
133,1494712800,-0.0933514986,20850,77330,9.4101089918,0.2759673025,2.7056675749,9.221226158,-0.1956675749
134,1494799200,-0.0233514986,20758,77425,12.1101089918,14.0859673025,0.8456675749,11.921226158,0.6343324251
135,1494885600,0.0066485014,20668,77519,19.8801089918,14.5959673025,14.6556675749,19.691226158,0.6343324251
136,1494972000,0.0166485014,20580,77612,26.4101089918,8.9259673025,15.1656675749,26.221226158,0.6343324251
137,1495058400,0.1066485014,20495,77704,6.4601089918,7.5259673025,9.4956675749,14.011226158,-0.0656675749
138,1495144800,0.0166485014,20411,77794,0.0401089918,1.5059673025,5.6356675749,2.161226158,0.3143324251
139,1495231200,-0.3033514986,20330,77883,4.5001089918,0.4359673025,2.0756675749,4.311226158,0.4743324251
140,1495317600,-0.0933514986,20251,77971,9.7801089918,4.0459673025,1.0056675749,9.591226158,0.6343324251
141,1495404000,0.0766485014,20174,78058,18.9501089918,9.3959673025,4.6156675749,18.761226158,0.6343324251
142,1495490400,-0.0233514986,20100,78143,8.7401089918,5.4159673025,9.9656675749,8.551226158,0.6343324251
143,1495576800,-0.1433514986,20028,78227,11.9601089918,4.1159673025,5.9856675749,11.771226158,0.5743324251
144,1495663200,-0.0133514986,19959,78308,14.7301089918,8.4259673025,4.6856675749,14.541226158,-0.1256675749
145,1495749600,0.0566485014,19892,78389,22.3001089918,15.2559673025,8.9956675749,22.111226158,0.6343324251
146,1495836000,0.0966485014,19828,78467,30.6801089918,12.9359673025,15.8256675749,30.491226158,0.6343324251
147,1495922400,0.0966485014,19766,78544,17.6601089918,13.1259673025,13.5056675749,17.471226158,0.6343324251
148,1496008800,0.0266485014,19707,78619,23.0401089918,15.1259673025,13.6956675749,22.851226158,0.4443324251
149,1496095200,0.0466485014,19651,78691,8.8801089918,10.1759673025,14.1256675749,8.821226158,-0.1856675749
150,1496181600,-0.1833514986,19598,78762,12.4001089918,2.3659673025,10.7456675749,12.211226158,0.6343324251
151,1496268000,0.0866485014,19547,78831,15.0101089918,9.2459673025,2.9356675749,14.821226158,0.6343324251
152,1496354400,0.0266485014,19500,78897,20.3001089918,15.7659673025,9.8156675749,20.111226158,0.6343324251
153,1496440800,-0.1233514986,19455,78961,14.2401089918,9.5059673025,12.7856675749,14.051226158,0.5043324251
154,1496527200,-0.2733514986,19413,79023,8.7401089918,6.9259673025,10.0756675749,8.551226158,0.5243324251
155,1496613600,-0.1433514986,19374,79082,12.8501089918,11.9259673025,7.4956675749,12.661226158,0.6343324251
156,1496700000,-0.0633514986,19338,79139,3.3101089918,6.4559673025,7.0256675749,6.691226158,0.2043324251
157,1496786400,-0.0833514986,19306,79193,5.1301089918,6.5259673025,7.7256675749,4.941226158,0.5543324251
158,1496872800,0.0166485014,19276,79245,13.6301089918,11.5959673025,7.0956675749,13.441226158,0.3643324251
159,1496959200,-0.1333514986,19249,79294,7.9301089918,7.4259673025,11.7056675749,7.741226158,0.3743324251
160,1497045600,-0.1733514986,19226,79340,17.5401089918,10.7659673025,7.9956675749,17.351226158,0.6343324251
161,1497132000,-0.0033514986,19205,79384,22.6501089918,10.5259673025,11.3356675749,22.461226158,0.6343324251
162,1497218400,-0.1733514986,19188,79424,7.0201089918,9.7059673025,11.0956675749,6.831226158,0.6343324251
163,1497304800,-0.1833514986,19174,79462,10.3801089918,4.4359673025,10.2756675749,10.191226158,0.6343324251
164,1497391200,-0.0633514986,19163,79497,17.2501089918,12.3159673025,5.0056675749,17.061226158,0.6343324251
165,1497477600,-0.0333514986,19156,79528,20.2601089918,12.7959673025,12.8856675749,20.071226158,0.6343324251
166,1497564000,-0.1333514986,19151,79557,6.5601089918,10.2959673025,11.4356675749,6.371226158,0.6343324251
167,1497650400,0.0866485014,19150,79583,15.3401089918,9.3659673025,10.8656675749,15.151226158,0.6343324251
168,1497736800,-0.0133514986,19152,79605,23.3801089918,16.1459673025,9.9356675749,23.191226158,0.2943324251
169,1497823200,0.0166485014,19157,79625,28.2701089918,18.2959673025,16.7156675749,28.081226158,0.6343324251
170,1497909600,0.0766485014,19165,79641,20.2501089918,9.6459673025,17.7256675749,20.061226158,0.6343324251
171,1497996000,0.1166485014,19176,79654,23.5001089918,22.0959673025,10.2156675749,23.311226158,0.6343324251
172,1498082400,0.1166485014,19191,79664,24.8501089918,14.5059673025,16.6156675749,24.661226158,0.2143324251
173,1498168800,-0.0333514986,19209,79670,12.1201089918,14.4959673025,15.0756675749,11.931226158,0.6343324251
174,1498255200,0.1966485014,19229,79674,8.8401089918,15.2259673025,14.7056675749,8.651226158,0.1643324251
175,1498341600,0.2266485014,19253,79674,7.1901089918,9.8659673025,15.1156675749,7.001226158,0.3343324251
176,1498428000,-0.2233514986,19280,79671,9.5401089918,6.6859673025,10.4356675749,9.351226158,0.6343324251
177,1498514400,0.0066485014,19310,79664,14.7601089918,13.9759673025,7.2556675749,14.571226158,0.6343324251
178,1498600800,0.2366485014,19342,79655,13.1001089918,11.5059673025,14.5456675749,12.911226158,-0.6656675749
179,1498687200,0.0666485014,19378,79642,10.7101089918,8.9959673025,12.0756675749,10.521226158,0.5743324251
180,1498773600,-0.1633514986,19416,79626,9.0401089918,10.0459673025,9.5656675749,8.851226158,0.3743324251
181,1498860000,0.0466485014,19457,79606,9.3901089918,10.8959673025,10.6156675749,9.201226158,0.1643324251
182,1498946400,-0.0233514986,19501,79584,8.9301089918,5.9359673025,10.1756675749,8.741226158,0.5743324251
183,1499032800,-0.0833514986,19548,79558,12.3501089918,10.6859673025,6.5056675749,12.161226158,0.6343324251
184,1499119200,-0.1533514986,19597,79529,14.3101089918,10.2859673025,11.2556675749,14.121226158,0.6343324251
185,1499205600,-0.1733514986,19649,79498,17.5901089918,10.1159673025,10.8556675749,17.401226158,0.6343324251
186,1499292000,0.0366485014,19703,79462,20.9101089918,16.0259673025,10.6856675749,20.721226158,0.3143324251
187,1499378400,-0.0833514986,19759,79424,18.2201089918,15.3859673025,16.5956675749,18.031226158,0.0243324251
188,1499464800,-0.1633514986,19819,79383,15.3201089918,5.5559673025,14.0256675749,15.131226158,0.2943324251
189,1499551200,-0.0733514986,19880,79339,15.8401089918,13.5659673025,6.1256675749,15.651226158,0.6343324251
190,1499637600,-0.0433514986,19943,79292,20.0601089918,15.0359673025,14.1356675749,19.871226158,0.6343324251
191,1499724000,-0.1733514986,20009,79242,11.8301089918,11.4659673025,14.7556675749,11.641226158,0.6043324251
192,1499810400,0.0266485014,20077,79189,6.8901089918,4.3359673025,10.7756675749,6.701226158,-0.5256675749
193,1499896800,-0.2633514986,20146,79134,9.4801089918,5.1459673025,4.9056675749,9.291226158,0.6343324251
194,1499983200,-0.1033514986,20218,79075,6.9101089918,7.6459673025,5.7156675749,6.721226158,0.6343324251
195,1500069600,-0.2933514986,20292,79014,13.0701089918,13.8159673025,8.2156675749,12.881226158,0.6343324251
196,1500156000,0.2266485014,20367,78950,11.6701089918,9.4659673025,14.3856675749,11.481226158,-0.4756675749
197,1500242400,-0.1033514986,20444,78884,16.2401089918,9.4859673025,10.0356675749,16.051226158,0.6343324251
